# wavelength,intensity
2.800707702636718750e+02,1.737000000000000000e+03
2.808643025395330142e+02,1.724000000000000000e+03
2.816577607093559550e+02,1.717000000000000000e+03
2.824511447657021677e+02,1.719000000000000000e+03
2.832444547011332361e+02,1.722000000000000000e+03
2.840376905082105736e+02,1.725000000000000000e+03
2.848308521794957642e+02,1.723000000000000000e+03
2.856239397075502779e+02,1.722000000000000000e+03
2.864169530849356420e+02,1.722000000000000000e+03
2.872098923042133833e+02,1.721000000000000000e+03
2.880027573579449722e+02,1.720000000000000000e+03
2.887955482386919925e+02,1.725000000000000000e+03
2.895882649390158576e+02,1.720000000000000000e+03
2.903809074514781514e+02,1.723000000000000000e+03
2.911734757686403441e+02,1.723000000000000000e+03
2.919659698830639627e+02,1.720000000000000000e+03
2.927583897873105343e+02,1.719000000000000000e+03
2.935507354739415291e+02,1.724000000000000000e+03
2.943430069355185310e+02,1.720000000000000000e+03
2.951352041646029534e+02,1.722000000000000000e+03
2.959273271537563801e+02,1.722000000000000000e+03
2.967193758955402814e+02,1.721000000000000000e+03
2.975113503825162411e+02,1.723000000000000000e+03
2.983032506072456727e+02,1.722000000000000000e+03
2.990950765622901031e+02,1.722000000000000000e+03
2.998868282402111163e+02,1.723000000000000000e+03
3.006785056335701256e+02,1.725000000000000000e+03
3.014701087349287150e+02,1.725000000000000000e+03
3.022616375368483546e+02,1.721000000000000000e+03
3.030530920318906283e+02,1.722000000000000000e+03
3.038444722126169495e+02,1.725000000000000000e+03
3.046357780715888453e+02,1.721000000000000000e+03
3.054270096013678994e+02,1.725000000000000000e+03
3.062181667945155823e+02,1.718000000000000000e+03
3.070092496435933640e+02,1.724000000000000000e+03
3.078002581411627716e+02,1.722000000000000000e+03
3.085911922797853890e+02,1.722000000000000000e+03
3.093820520520226296e+02,1.726000000000000000e+03
3.101728374504360204e+02,1.722000000000000000e+03
3.109635484675871453e+02,1.722000000000000000e+03
3.117541850960374745e+02,1.722000000000000000e+03
3.125447473283484783e+02,1.717000000000000000e+03
3.133352351570817405e+02,1.722000000000000000e+03
3.141256485747987313e+02,1.720000000000000000e+03
3.149159875740609209e+02,1.723000000000000000e+03
3.157062521474298933e+02,1.725000000000000000e+03
3.164964422874671186e+02,1.720000000000000000e+03
3.172865579867341239e+02,1.725000000000000000e+03
3.180765992377923794e+02,1.723000000000000000e+03
3.188665660332034690e+02,1.724000000000000000e+03
3.196564583655288629e+02,1.729000000000000000e+03
3.204462762273300314e+02,1.725000000000000000e+03
3.212360196111685582e+02,1.723000000000000000e+03
3.220256885096059136e+02,1.726000000000000000e+03
3.228152829152036247e+02,1.721000000000000000e+03
3.236048028205232185e+02,1.722000000000000000e+03
3.243942482181261653e+02,1.726000000000000000e+03
3.251836191005739920e+02,1.721000000000000000e+03
3.259729154604282257e+02,1.723000000000000000e+03
3.267621372902503367e+02,1.721000000000000000e+03
3.275512845826018520e+02,1.726000000000000000e+03
3.283403573300443554e+02,1.724000000000000000e+03
3.291293555251392604e+02,1.719000000000000000e+03
3.299182791604480940e+02,1.725000000000000000e+03
3.307071282285323832e+02,1.724000000000000000e+03
3.314959027219536551e+02,1.721000000000000000e+03
3.322846026332733800e+02,1.719000000000000000e+03
3.330732279550531416e+02,1.724000000000000000e+03
3.338617786798544103e+02,1.727000000000000000e+03
3.346502548002386561e+02,1.729000000000000000e+03
3.354386563087674062e+02,1.723000000000000000e+03
3.362269831980022445e+02,1.726000000000000000e+03
3.370152354605045844e+02,1.718000000000000000e+03
3.378034130888360096e+02,1.725000000000000000e+03
3.385915160755579905e+02,1.725000000000000000e+03
3.393795444132319972e+02,1.721000000000000000e+03
3.401674980944196705e+02,1.727000000000000000e+03
3.409553771116824237e+02,1.725000000000000000e+03
3.417431814575817270e+02,1.719000000000000000e+03
3.425309111246792213e+02,1.724000000000000000e+03
3.433185661055363198e+02,1.724000000000000000e+03
3.441061463927145496e+02,1.721000000000000000e+03
3.448936519787754378e+02,1.724000000000000000e+03
3.456810828562805114e+02,1.724000000000000000e+03
3.464684390177912405e+02,1.720000000000000000e+03
3.472557204558691524e+02,1.727000000000000000e+03
3.480429271630757739e+02,1.719000000000000000e+03
3.488300591319725754e+02,1.723000000000000000e+03
3.496171163551211407e+02,1.725000000000000000e+03
3.504040988250828832e+02,1.727000000000000000e+03
3.511910065344194436e+02,1.725000000000000000e+03
3.519778394756921784e+02,1.726000000000000000e+03
3.527645976414626716e+02,1.723000000000000000e+03
3.535512810242925070e+02,1.723000000000000000e+03
